Number,Date,Hare,Start,Notes,Kennel
749,2009-01-17,Finger-In & Doctor O,Newark,Interhash,Summit H3
750,2009-01-23,Crazy Bob,96th Street & C.P.W.,Flashlight Hash,GGFM
751,2009-01-24,Fluffy,Coney Island,Polar Bear,NYCH3
752,2009-01-31,Loogey,South Orange,,Summit H3
753,2009-02-01,Roy,Upper East Side,Super Bowl,NYCH3
754,2009-02-02,Nipsicle & Sandy Syphilis,Nostrand Avenue,,BH3
755,2009-02-04,Geoff,40th & Lexington,,NAWW
756,2009-02-06,Sari,60th & Lexington,,GGFM
757,2009-02-15,Sarah Down Under & Manslave,Hunter College,,NYCH3
758,2009-02-18,Alice,14th Street & 2nd Avenue,,NAWW
759,2009-02-22,Noah's Dinghy & U.S.M.W.,46th & 9th,,NYCH3
760,2009-02-25,Fire in the Piehole,Houston & Lafayette,,KH3
761,2009-02-28,Hi I'm Gay,New Haven,Hazmat Hash,New Haven H3
762,2009-03-01,Fire in the Piehole,Grand Army Plaza,,NYCH3
763,2009-03-02,Dogface & Leo,Bedford Avenue,,BH3
764,2009-03-04,Molly,Herald Square,,NAWW
765,2009-03-06,Splat,South Street Seaport,,GGFM
766,2009-03-08,Eager 4 Beaver,4th Street & 6th Avenue,,NYCH3
767,2009-03-09,F.M.I.G.,Queens,Brooklyn Does Queens,BH3
768,2009-03-11,Brittany & Hoboken Dave,Astor Place,,KH3
769,2009-03-14,Bottom,Mulberry Street,Toga Hash,NYCH3
770,2009-03-18,Jeremy,Madison Square,,NAWW
771,2009-03-22,Riding Big Jake & Leo,14th Street & 1st Avenue,,NYCH3
772,2009-03-29,Zach & Legal In Some States,Union Square,,NYCH3
773,2009-04-01,Gabe the Babe,14th Street & 7th Avenue,,NAWW
774,2009-04-05,Fire in the Piehole & Mean Jean,46th & Broadway,Scotland Hash,NYCH3
775,2009-04-13,Splat & Jim,Hunters Point,,BH3
776,2009-04-15,Kendra,Grand Central,,NAWW
777,2009-04-18,,,Stocks & Bondage,Boston H3
778,2009-04-19,,,Boston Marathon,Boston H3
779,2009-04-22,Fast American Dave,14th Street & 7th Avenue,,KH3
780,2009-04-26,Dave Long,96th & C.P.W.,,NYCH3
781,2009-04-27,Headlights,Atlantic & 4th,,BH3
782,2009-04-29,Splat & Brittany,West Broadway & 6th Avenue,,NAWW
0,2009-05-01,,,AGM Pub Crawl,NYCH3
783,2009-05-02,Eager 4 Beaver & Lauren,Madison Square Park,AGM,NYCH3
784,2009-05-04,Sorry What,Union Street,,BH3
785,2009-05-06,Lauren & Dan,West 4th Street,,NYCH3
786,2009-05-14,Rongjon,Palace of the Legion of Honor,,Gypsies H3
0,2009-05-15,,,Bay To Breakers,SFH3
0,2009-05-16,,,Bay To Breakers,SFH3
0,2009-05-17,,,Bay To Breakers,SFH3
787,2009-05-20,Matt & Dan,Chambers & Church,,NYCH3
788,2009-05-23,Hi I'm Gay,Sleeping Giant Park,,New Haven H3
789,2009-05-24,F.M.I.G.,Prospect Park,,BH3
790,2009-05-27,Eager 4 Beaver,West Broadway & 6th Avenue,,NYCH3
791,2009-05-31,Mickey Mouth,59th & Lexington,,NASS
792,2009-06-01,Nipsicle,Clinton & Washington,,BH3
793,2009-06-03,Raj & Rebecca,53rd & 3rd,,NYCH3
794,2009-06-08,F.M.I.G. & Noah's Dinghy,Prospect Park,,BH3
795,2009-06-10,Kerry & Kim,Varick & West Broadway,,NYCH3
796,2009-06-22,Wet Connection,Lorimer-Metropolitan,,BH3
797,2009-06-24,Steamer & Alice,Christopher Street-Sheridan Square,NAWW in Summer,NYCH3
798,2009-06-27,Elephant Dick,Long Branch,10 Bars 10 Miles,Rumson H3
799,2009-06-28,Dave Croft,Trenton NJ,,NASS
800,2009-06-29,Jeremy,York Street,Tour de Brooklyn,BH3
801,2009-07-01,Splat & Lisa,Madison Square Park,,NYCH3
802,2009-07-06,Technically Foul & Cuntcake,Sunset Park,Tour de Brooklyn,BH3
803,2009-07-08,Wet Connection,Columbus Circle,,NYCH3
804,2009-07-10,Trips and Balls & Rich,72nd Street,,GGFM
805,2009-07-13,F.M.I.G. & Headlights,86th Street & 4th Avenue,Tour de Brooklyn,BH3
806,2009-07-15,Dan & Leo,Chambers Street,,NYCH3
807,2009-07-20,Trader Blows & Mel,Avenue U,Tour de Brooklyn,BH3
808,2009-07-22,Fire in the Piehole,59th & 6th,,NYCH3
809,2009-07-27,Dogface & Headlights,Sheepshead Bay,Tour de Brooklyn,BH3
810,2009-07-29,Sean,City Hall,,NYCH3
811,2009-07-31,Runner Gril & Wicked Witch,Elberon,,Bimbos of Jersey H3
812,2009-08-03,Fluffy,Cortelyou Avenue,Tour de Brooklyn,BH3
813,2009-08-05,Brittany & Dan,Madison Square,,NYCH3
814,2009-08-07,Anna & Steve,Columbus Circle,,GGFM
815,2009-08-09,Dave Long & Sue,Red Bank NJ,,NASS
816,2009-08-10,F.M.I.G.,Flatbush Avenue,Tour de Brooklyn,BH3
817,2009-08-12,Flabio,Rivington & Bowery,H.A.L.T.,NYCH3
818,2009-08-15,Ass Ranger,The Patriot,,Outerborogh H3
0,2009-08-16,,,Manhattan Half Marathon Pub Crawl,NYCH3
819,2009-08-17,Sorry What? & Noah's Dinghy,Franklin Avenue,Tour de Brooklyn,BH3
820,2009-08-19,Dogface & Dana,Central Park,25th Anniversary,NYCH3
821,2009-08-22,Dr. Gonad & Hi I'm Gay,New Haven,Brewery Hash,New Haven H3
822,2009-08-24,Sandy Syphilis & Jess,Lorimer & Metropolitan,Tour de Brooklyn,BH3
0,2009-08-29,,Reno,,Iguanas H3
0,2009-09-02,,Fort Collins,Pub Crawl,Interam
0,2009-09-05,,Winter Park,,Interam
823,2009-09-09,Trips and Balls & F.M.I.G.,,NYC versus Brooklyn,NYCH3
824,2009-09-11,Norma,125th & Broadway,,GGFM
825,2009-09-13,Anal & Loogey,Millburn NJ,,NASS
826,2009-09-14,Massengil,Pine & William,Downtown Fiasco,Summit H3
827,2009-09-16,Eager 4 Beaver,57th & 5th,Hudson Dusters,NYCH3
828,2009-09-19,The Red Dress Committee,Fontana's,Red Dress,NYCH3
829,2009-09-23,Gabe the Babe,Racoon Lodge,,NYCH3
830,2009-09-26,Splat,Staten Island Ferry,,Outerborough H3
831,2009-09-28,Tony & Headlights,Morgan Avenue,,BH3
832,2009-09-30,Amalea & Splat,Rockefeller Center,,NYCH3
833,2009-10-02,U.S.M.W. & Tit Totaller,60th & Lexington,,GGFM
834,2009-10-03,Sorry What? & U.S.M.W.,Greenpoint,AGM Pubcrawl,BH3
835,2009-10-04,The Saint & Headlights,Bay Ridge,AGM,BH3
836,2009-10-07,Brittany & Dave,14th Street & 8th Avenue,,NYCH3
837,2009-10-12,Sorry What?,Clark Street,Oktoberfest,BH3
838,2009-10-14,Splat & Ewa,Houston & Varick,,NAWW
839,2009-10-18,Tit Totaller,106th & C.P.W.,,NYCH3
840,2009-10-19,Jeff,Sterling Street,,BH3
841,2009-10-25,Peter & Doggie Erectus,96th & Lexington,,NYCH3
842,2009-10-28,Li'l Dirty & Kurt,14th Street & 8th Avenue,,NAWW
843,2009-10-31,The Committee,,Halloween Hash,GGFM
844,2009-11-01,Dr. Steve,98th & 5th,Marathon,NYCH3
845,2009-11-04,Dana & Katie,18th & Irving,,KH3
846,2009-11-06,Mickey Mouth & David,Madison Square,,GGFM
847,2009-11-08,Dogface & Splat,Inwood,,NYCH3
848,2009-11-09,Screaming O & Captain White,Lafayette Avenue,,BH3
849,2009-11-11,I Feel Tower & Liz,72nd & C.P.W.,,NAWW
850,2009-11-15,Li'l Dirty & Raj,Union Square,,NYCH3
851,2009-11-16,Leo & Leo,9th Street & 4th Avenue,,BH3
852,2009-11-18,Mickey Mouth,53rd & 3rd,,KH3
853,2009-11-23,Dental Damned,25th Street & 4th Avenue,,BH3
854,2009-11-25,Fluffy,Chambers & Church,,NAWW
855,2009-12-04,Just Liz,18th Street & Irving,,GGFM
856,2009-12-09,B.J. & Finger Me First,Bowling Green,,NAWW
0,2009-12-12,,,Snowball,SFH3
857,2009-12-13,Splat & L.C.B.,Lake Merritt,,EBH3
858,2009-12-16,Rich & Liz,62nd & 5th,,KH3
859,2009-12-20,The Harriettes,Lincoln Center,,NYCH3
860,2009-12-21,Smashmouth,205th & Norwood,White Trash,BH3
861,2009-12-28,Mel & Goes All the Way,Nevis & Flatbush,,BH3
862,2009-12-30,Wet Willy & Jonathan,Racoon Lodge,,KH3
863,2010-01-01,Brittany & Norma,Clem's,,GGFM
864,2010-01-03,Holly & Splat,Delancey & Essex,,NYCH3
865,2010-01-06,Doggie Erectus & Eric,The Patriot,NAWW #200,NAWW
866,2010-01-10,Mickey Mouth,Tiffany's,,NYCH3
867,2010-01-15,Crazy Bob & Scooter,60th & Lexington,Flashlight Hash,GGFM
868,2010-01-18,Dogface & Peepshow,Nassau Avenue,,BH3
869,2010-01-20,Hoboken Dave & Liz,Carmine & 6th Avenue,,NAWW
870,2010-01-23,Queeff & 3 Balls,Newtown PA,,Philly H3
871,2010-01-24,Chrotchless Panties & Lisa,Bleecker & 6th Avenue,,NYCH3
872,2010-01-27,Junky Monkey,Houston & Mott,,KH3
873,2010-01-29,Ow My Balls & Chris,63rd & 1st,,GGFM
874,2010-01-31,Joe Pennsylvania,89th & 3rd,,NYCH3
875,2010-02-01,Tim & Mike,Henry Street Ale House,,BH3
876,2010-02-03,Alice,40th & Lexington,,NAWW
877,2010-02-07,Fast American Dave,Bryant Park,Super Bowl,NYCH3
878,2010-02-08,Sorry What? & Nads on Film,Marcy Avenue,,BH3
879,2010-02-10,Noah's Dinghy,Mercer & Waverly,,KH3
880,2010-02-14,Splat & Wendy,55th & 6th,Valentine's Day Hash,NYCH3
881,2010-02-15,F.M.I.G. & Headlights,15th & Prospect Park West,Brooklyn #500,BH3
882,2010-02-17,Marios & Splat,Battery Park,,NAWW
883,2010-02-21,Technically Foul & Death Breast,Delancey & Essex,,NYCH3
884,2010-02-26,Finger Me First,101st & Broadway,,GGFM
885,2010-02-27,Dr. Gonad,Anchor Bar,Hazmat,New Haven H3
886,2010-02-28,Fluffy,Coney Island,Polar Bear,NYCH3
887,2010-03-01,Splat,Carroll Street,,BH3
888,2010-03-03,Courtney & Molly,33rd & 7th,,NAWW
889,2010-03-14,Hardy & Fergal,Saint Patrick's Cathedral,,NYCH3
890,2010-03-15,Ding! & Sandy Syphilis,Grand Army Plaza,,BH3
891,2010-03-17,Doggie Erectus,City Hall,,NAWW
892,2010-03-19,Runner Girl,Holmdel,,BJH3
893,2010-03-20,G.I. & DogE Style,Wachtung,,Rumson/Summit
894,2010-03-21,Fast American Dave,West Village,NYC Half Pub Crawl,NYCH3
895,2010-03-24,F.M.I.G. & Trips and Balls,14th Street & Avenue A,,KH3
896,2010-03-26,Dan Bartos,Broadway-Lafayette,,GGFM
897,2010-03-28,Fireman Tim,14th Street & 7th Avenue,,NYCH3
898,2010-03-29,Splat & Crotchless Panties,Broadway & Boerum,,BH3
899,2010-03-31,Bahamonde,14th Street & 3rd Avenue,,NAWW
900,2010-04-04,Norma,9th Street & Avenue A,,NYCH3
901,2010-04-05,Canine Fixation,Bergen Street,,BH3
902,2010-04-11,Fire in the Piehole,,Scotland Hash,NYCH3
903,2010-04-14,Chris & Hoboken Dave,62nd & 3rd,,NAWW
904,2010-04-18,Bulldozer & Hashole,Penn Station,,NYCH3
905,2010-04-23,Congenital Defect & Pussy in Boots,Barrow & Hudson,,GGFM
906,2010-04-25,Crotchless Panties,Columbus Circle,,NYCH3
907,2010-04-28,Devo,Bowling Green,,NAWW
908,2010-04-30,Splat,Milano's Pub,AGM Pub Crawl,NYCH3
909,2010-05-01,The Committee,Blackstone's,AGM,NYCH3
910,2010-05-03,Dan & Paul,Smith & 9th,,BH3
911,2010-05-05,Fire in the Piehole & Tit Totaller,94th & Broadway,,NYCH3
912,2010-05-10,Smashmouth,Jefferson Street,,BH3
913,2010-05-12,Joe Pennsylvania & Hot Rod,89th & 3rd,,NYCH3
914,2010-05-17,Li'l Dirty,Prospect Park South,,BH3
915,2010-05-19,Trips and Balls,28th Street & 2nd Avenue,,NYCH3
916,2010-05-21,Cumby,Seaside Park,Comotion by the Ocean,Rumson
917,2010-05-22,Cumby,Seaside Park,Comotion by the Ocean,Rumson
918,2010-05-24,I Feel Tower & Crotch Thumper,Stirling,,Summit
919,2010-05-26,Technically Foul & Death Breast,Union Square,,NYCH3
920,2010-05-28,Ow My Balls,14th Street & 2nd Avenue,,GGFM
921,2010-05-31,Headlights,Prospect Park,,BH3
922,2010-06-02,Wet Connection & Mean Jean,42nd & 9th,,NYCH3
923,2010-06-05,Splat,Van Cortlandt Park,5 Borough Pub Crawl,TSH3
924,2010-06-06,Splat,Van Cortlandt Park,,NASS
925,2010-06-14,Noah's Dinghy,Newkirk Avenue,Tour de Brooklyn 1,BH3
926,2010-06-23,Kathy & Spermatologist,Midtown,,NYCH3
927,2010-06-25,Patrick & Doggie Erectus,Downtown,,GGFM
928,2010-06-26,,Long Branch,10 Bars 10 Miles,Rumson
929,2010-06-28,Seoul Brother,,Passaic River Classic,Summit
930,2010-06-30,Splat,Lispenard & West Broadway,,NYCH3
931,2010-07-08,Tongueless & Mr. BoneJangles & I.R. Stupid,Golden Gate Park,Gypsies #900,Gypsies
0,2010-07-09,,,Only the Strong Survive,Gypsies
932,2010-07-10,Danglin' Anglin & Drill Me,Petaluma,Gypsies #900,Gypsies
933,2010-07-11,Tongueless,Presidio,Gypsies #900,Gypsies
934,2010-07-15,No Shit,Holly Park,,Gypsies
935,2010-07-19,Headlights,Kings Highway,Tour de Brooklyn 6,BH3
936,2010-07-21,Eager 4 Beaver,Sheridan Square,,NYCH3
937,2010-07-23,Hoboken Dave,53rd & 3rd,,GGFM
938,2010-07-25,Splat & Dana H.,Vernon-Jackson,,NASS
939,2010-07-28,Dave Long,72nd & Broadway,,NYCH3
940,2010-08-01,Chris & Petra,Harrison,,NASS
941,2010-08-04,Finger Fucked & Ow My Balls,23rd & 8th,,NYCH3
942,2010-08-08,Splat,Tompkins Square,Norma & Kyle's Wedding Hash,Special
943,2010-08-11,Casey & Bartos,59th & 5th,,NYCH3
944,2010-08-14,The Colonel,Red Bank,,Rumson
945,2010-08-16,Screaming O & Death Breast,Lorimer-Metropolitan,Tour de Brooklyn 10,BH3
946,2010-08-18,Alice & Splat,Columbus Circle,NAWW in Summer,NYCH3
947,2010-08-23,Doggie Erectus,Borough Hall,Tour de Brooklyn 11,BH3
948,2010-08-25,Steve & Jimmy,Houston & Lafayette,H.A.L.T.,NYCH3
949,2010-08-30,The Committee,High Street,Tour de Brooklyn 12,BH3
950,2010-09-01,Salt Lick,20th Street & Broadway,Catholic School,NYCH3
951,2010-09-06,Technically Foul & Death Breast,Carroll Street,,BH3
952,2010-09-08,Jumpin' Jack Gash,59th & 6th,,NYCH3
953,2010-09-12,Dan Bartos,Hoboken,,NASS
954,2010-09-18,Screaming Nemo,Parc de Sceaux,,Paris H3
955,2010-09-22,Devo,110th & Broadway,,NYCH3
956,2010-09-24,The Red Dress Committee,10th Street & Avenue C,Red Dress,GGFM
957,2010-09-25,The Red Dress Committee,Fontana's,Red Dress,NYCH3
958,2010-09-27,Just Josh,Pacific & 4th Avenue,,BH3
959,2010-09-29,Sean & Linda,Madison Square,,NYCH3
960,2010-10-06,Splat & I Like Head,City Hall,,NAWW
961,2010-10-10,Cockstar,110th & C.P.W.,,NYCH3
962,2010-10-11,Pussy In Boots & NY Cock Exchange,Central Avenue,,BH3
963,2010-10-13,THe Committee,Madison Square Garden,,KH3
964,2010-10-17,I Like Head & Li'l Dirty,Inwood,,NYCH3
965,2010-10-18,Whoremaster,4th Avenue & 9th Street,,BH3
966,2010-10-20,Just Josh,Bowling Green,,NAWW
967,2010-10-22,Just Matt & Ow My Balls,14th Street & 1st Avenue,,GGFM
968,2010-10-24,Headlights & Speedo Gonzales,60th & Lexington,,NYCH3
969,2010-10-29,Bee Fart,Amityville,,Long Island H3
970,2010-10-31,The GGFM Committee,Edge Bar,Halloween,NYCH3
971,2010-11-03,Nicole & Dave,Metropolitan Museum,,NAWW
972,2010-11-05,Smashmouth,Houston & Varick,,Dogs Bollocks
973,2010-11-06,Splat,Gleeson's Sports Bar,5-Borough,TSH3
974,2010-11-07,Titotaller,96th & 5th,Marathon,NYCH3
975,2010-11-08,F.M.I.G.,City Hall,,BH3
976,2010-11-13,The Colonel,,Manhattan Pub Crawl,Rumson
977,2010-11-14,U.S.M.W.,Carmine & 6th Avenue,,NYCH3
978,2010-11-17,Just Lynn & Splat,East Broadway,,NAWW
979,2010-11-19,,Toronto,Hogtown Anniversary Weekend,Hogtown H3
980,2010-11-22,Trader Blows,4th Avenue & Union,,BH3
981,2010-11-24,Fluffy & Headlights,Church & Chambers,,KH3
982,2010-11-28,Splat & Just Karen,Roosevelt Island,,NYCH3
983,2010-11-29,Two Buck Fuck,4th Avenue & 9th Street,,BH3
984,2010-12-01,Chris Steinkrauss & Hoboken Dave,Union Square,,NAWW
985,2010-12-05,Dr. Steve,1st & Houston,Hanukkah,NYCH3
986,2010-12-06,Doggie Erectus & Cheeky Bastard,Flushing & Broadway,,BH3
987,2010-12-19,Devo,168th Street,,NYCH3
988,2010-12-20,Smashmouth,Flushing Main Street,White Trash,BH3
989,2010-12-26,Dogface,46th & Queens Boulevard,,NYCH3
990,2010-12-27,Barnacle & Cheeky Bastard,Borough Hall,,BH3
991,2010-12-29,Splat & F.M.I.G.,59th Street & 5th Avenue,,NAWW
992,2011-01-09,Mickey Mouth,136th & Saint Nicholas,,NYCH3
993,2011-01-12,Punk Ass Bitch & Just Nicole,John & Nassau,,NAWW
994,2011-01-16,Porno Putz & Technically Foul,Houston & Forsythe,,NYCH3
995,2011-01-19,Pimpy Longstocking,Washington Square,,KH3
996,2011-02-02,The Committee,Union Square,Groundhog Day,KH3
997,2011-02-06,Fast American Dave,Astor Place,,NYCH3
998,2011-02-07,Cheeky Bastard,18th Avenue,,BH3
999,2011-02-10,Pied Piper & Lois Lame,Fort Funston,,Gypsies
1000,2011-02-13,Splat & Just Wendy,Herald Square,,NYCH3
1001,2011-02-16,Pimpy Longstocking & Lexi's Bitch,NY Public Library,,KH3
1002,2011-02-18,Pussy In Boots & Nads On Film,Lorimer-Metropolitan,,GGFM
1003,2011-02-26,Fireman Bob,Yonkers,Ian's 80th,NY/CT H3
1004,2011-02-27,Trader Blows,Madison Square,,NYCH3
1005,2011-02-28,Barnacle & Pimpy Longstocking,Franklin & Eastern Parkway,,BH3
1006,2011-03-02,Headlights & Technically Foul,Herald Square,,KH3
1007,2011-03-05,H.I.G,,Hazmat,New Haven H3
1008,2011-03-09,Splat,14th Street & 6th Avenue,,NAWW
1009,2011-03-13,Finger Me First,59th & Lexington,,NYCH3
1010,2011-03-14,Headlights & Canine Fixation,15th & Prospect Park,,BH3
1011,2011-03-16,Mickey Mouth & Wet Connection,47th Street & 8th Avenue,,KH3
1012,2011-03-19,Crotch Thumper,Buster's,,Lexington HAH3
1013,2011-03-21,Technically Foul,Clinton & Remsen,,BH3
1014,2011-04-06,F.M.I.G.,14th Street & 8th Avenue,,NAWW
1015,2011-04-15,Joe Pennsylvania,96th & Lexington,,GGFM
1016,2011-04-17,Copa Cum Bloody,79th & Columbus,,NYCH3
1017,2011-04-18,Ding! & Canine Fixation,Lorimer & Metropolitan,,BH3
1018,2011-04-20,Splat,60th & Lexington,AGM,NAWW
1019,2011-04-23,I Am Cumstain,Alma Mater,,CUnTH3
1020,2011-04-24,Trips and Balls & U.S.M.W.,Elizabeth & Houston,,NYCH3
0,2011-04-29,,,AGM Pub Crawl,NYCH3
1021,2011-04-30,Doggie Erectus & Rack 'n Roll 'er,The Parlour,AGM,NYCH3
1022,2011-05-11,Eager 4 Beaver & Trips and Balls,23rd & Broadway,Hudson Duster Hash,NYCH3
1023,2011-05-18,Doggie Erectus,13th Street & 2nd Avenue,,NYCH3
1024,2011-05-20,Cums With The Turf,Seaside Park,Comotion By The Ocean,Rumson
1025,2011-05-30,Barnacle,Prospect Park,,BH3
1026,2011-06-15,Splat,3rd Street & 6th Avenue,,NYCH3
1027,2011-06-29,NY Cock Exchange & Pussy In Boots,3rd Street & 2nd Avenue,,NYCH3
1028,2011-07-02,,Cloverdale,NorCal Campout,NorCal
1029,2011-07-15,Speedo Gonzales & Nads On Film,The Brazen Head,,GGFM
1030,2011-07-20,Li'l Dirty & Just Damian,South Street Seaport,,NYCH3
1031,2011-07-25,Crotchless Panties & Just Mike,Henry Street,,BH3
1032,2011-07-27,Splat,110th & CPW,NAWW in Summer,NYCH3
1033,2011-08-01,Dental Damned & Barnacle,Willoughby & Bridge,,BH3
1034,2011-08-03,Devo & Just Karen,13th Street & Avenue A,,NYCH3
1035,2011-08-07,Splat & Just Jen,Buhre Avenue,,NASS
1036,2011-08-22,Noah's Dinghy,14th Street & 7th Avenue,Tour de Boroughs,BH3
1037,2011-09-05,Noah's Dinghy,Staten Island,Tour de Boroughs,BH3
1038,2011-09-12,Maliboo Masengil & Tubslut,Downtown Manhattan,Downtown Fiasco,Summit H3
1039,2011-09-24,Smashmouth,Madison CT,,NASS/New Haven H3
1040,2011-09-26,Whoremaster,Pacific & 4th Avenue,,BH3
1041,2011-09-28,Bulldozer & Just Craig,NY Public Library,,NYCH3
1042,2011-10-02,Splat & Bushy,Astor Place,,NYCH3
1043,2011-10-05,NY Slammer & Skidmark,40th Street & 3rd Avenue,,NAWW
1044,2011-10-08,,Savannah,S.O.B.,Interam
1045,2011-10-09,,Savannah,Zippy,Interam
1046,2011-10-14,Speedo Gonzales & Just Evan,39th & Park,,GGFM
1047,2011-10-16,Lazer Labia & Teachers Pet,Riverside Park,,NYCH3
1048,2011-10-19,Devo,Times Square,,NAWW
1049,2011-10-31,,Edge Bar,Halloween Hash,BH3/GGFM
1050,2011-11-02,Splat,Milano's Bar,,NAWW
1051,2011-11-06,,96th Street,Marathon,NYCH3
1052,2011-11-07,Ding! & Just James,Delancey & Essex,,BH3
1053,2011-11-12,The Colonel,Hotel Penn,Manhattan Pub Crawl,Rumson
1054,2011-11-16,NY Cock Exchange & Conelingus,Racoon Lodge,,NAWW
1055,2011-11-21,Just Kyle,DeKalb Market,,BH3
1056,2011-11-30,Salt Lick & Bam Bam,23rd Street & 3rd Avenue,,NAWW
1057,2011-12-04,The Harriettes,No Idea Bar,Santa Sluts,NYCH3
1058,2011-12-09,Speedo Gonzales,Whitehorse Tavern,,GGFM
1059,2011-12-11,Doggie Erectus & Just Zara,Fort Tryon,,NYCH3
1060,2011-12-14,Splat & Just Jen,Rockefeller Center,,NAWW
1061,2012-01-01,NY Cock Exchange & Pussy In Boots,Grand Street,,NYCH3
1062,2012-01-07,Speedo Gonzales,13th Street & Avenue A,,GGFM
1063,2012-01-08,Mickey Mouth,40 West 40th Street,Riddle Hash,NYCH3
1064,2012-01-11,Splat & B.U.T.R.,Bleecker & 7th Avenue,,NAWW
1065,2012-01-15,Noah's Dinghy & Technically Foul,Coney Island,Polar Bear,BH3
1066,2012-01-20,Crazy Bob & Tall Dark and Hammered,AMNH,Flashlight,GGFM
1067,2012-01-25,Finger Me First & Gretel,20th & Broadway,,NAWW
1068,2012-01-28,Lazer Labia & Just Mary,Alma Mater,,CUnTH3
1069,2012-02-01,Devo & Just Karen,Columbus Circle,,KH3
1070,2012-02-05,,No Idea Bar,Superbowl,NYCH3
1071,2012-02-08,Flabio & Just Steve,45th Street & 3rd Avenue,,NAWW
1072,2012-02-19,Doggie Erectus & Just Mio,60th & Lexington,,NYCH3
1073,2012-02-22,Skidmark & Just Rafa,14th Street & 6th Avenue,,NAWW
1074,2012-02-25,Dr. Gonad,,Hazmat,New Haven H3
1075,2012-02-29,Speedo Gonzales,Murray Street,,KH3
1076,2012-03-04,Finger Fucked & Ow My Balls,,,NYCH3
1077,2012-03-07,Li'l Dirty,51st Street & 2nd Avenue,,NAWW
1078,2012-03-09,BJ & The Bareback,Eldridge Street Synagogue,,GGFM
1079,2012-03-11,Eager 4 Beaver,3rd Street & Avenue A,,NYCH3
1080,2012-03-12,Splat & Bushy,Grand Army Plaza,,BH3
1081,2012-03-14,Cheeky Bastard,,Toga Hash,KH3
1082,2012-03-18,Hardman,Saint Patrick's Cathedral,,NYCH3
1083,2012-03-21,Smashmouth,Fulton & William,,NAWW
1084,2012-03-25,Doggie Erectus & Just Rafa,Coogan's,,NYCH3
1085,2012-03-28,Splat,14th Street & Irving,,KH3
1086,2012-04-01,Irish Spring & Jenitals,Columbus Circle,,NYCH3
1087,2012-04-04,Bedmaster & Ginger Nail Me,25th Street & 3rd Avenue,,NAWW
1088,2012-04-18,Free His Willy & Copa Cum Bloody,14th Street & 7th Avenue,,NAWW
1089,2012-04-25,Noah's Dinghy,Saint Mark's Place,,KH3
1090,2012-04-30,NY Cock Exchange,Fulton & Lafayette,,BH3
1091,2012-05-02,Splat & Gabe the Babe,60th & Lexington,AGM,NAWW
1092,2012-05-05,The Committee,The Parlour,AGM,NYCH3
1093,2012-05-19,Cums With The Turf,Forked River,Comotion By The Ocean,Rumson
1094,2012-05-23,Irish Spring & Solar Eclits,23rd Street & 8th Avenue,,NYCH3
1095,2012-05-31,Mr. BoneJangles & Goes Down Easy,25th Avenue & MLK,#1000,Gypsies
1096,2012-06-01,Mr. BoneJangles & Splat,House of Shields,Only the Strong Survive Pub Crawl,Gypsies
1097,2012-06-02,Danglin' Anglin & Drill Me,Petaluma,1000th Weekend,Gypsies
1098,2012-06-03,Tongueless & Fits In,Novato,1000th Weekend,Gypsies
1099,2012-06-20,Bedmaster,43rd Street & Queens Boulevard,Sunnyside,NYCH3
1100,2012-06-23,,Long Branch,10 Bar 10 Mile,Rumson
1101,2012-06-27,Li'l Dirty & C.P.A.,40th & Lexington,,NYCH3
1102,2012-07-14,,Aquatic Park,Red Dress,SFH3
1103,2012-07-19,Who's Your Daddy?,5th Avenue & MLK,,Gypsies
1104,2012-08-01,C.P.A.,Saint Mark's Place,,NYCH3
