Number,Date,Hare,Start,Notes,Kennel
1105,2012-08-08,Splat,3rd Street & 6th Avenue,NAWW in Summer,NYCH3
1106,2012-08-22,Flabio & Just Steve,23rd Street & 2nd Avenue,HALT,NYCH3
1107,2012-08-31,Doggie Erectus & Just Jen,13th Street & 2nd Avenue,,GGFM
1108,2012-09-05,Bedmaster & Ginger Nail Me,116th & Lexington,,NYCH3
1109,2012-09-08,Elephant Dick,Sandy Hook,,Summit H3
1110,2012-09-10,Masengil & Secaucless,,Downtown Fiasco,Summit H3
1111,2012-09-15,W.A.C.,170th & Broadway,,CUnTH3
0,2012-09-21,The Red Dress Committee,,Red Dress Pub Crawl,NYCH3
1112,2012-09-22,The Red Dress Committee,,Red Dress,NYCH3
1113,2012-10-24,Splat,West Broadway & Lispenard,,NAWW
1114,2012-10-26,The Committee,72nd & Broadway,RGM,GGFM
1115,2012-10-31,Splat & Bushy,185th & Pinehurst,Hudson Heights Hash House Harriers Halloween Hurricane Hangover,H8
1116,2012-11-17,The Colonel,,Manhattan Pub Crawl,Rumson
1117,2012-11-21,Fluffy & Gabe the Babe,Chambers & Church,,NAWW
1118,2012-11-30,Canine Fixation,3rd Street & 6th Avenue,,GGFM
1119,2012-12-12,Flicker,,Global Harriettes,Pittsburgh H3
1120,2012-12-19,Puss,83rd & Columbus,,NAWW
1121,2012-12-22,Andy & Beth,Weston CT,,NY/CT H3
1122,2012-12-30,Spank The Plank & Doggie Erectus,207th Street,,NYCH3
1123,2013-01-06,G-Dick,145 & Saint Nicholas,,NYCH3
1124,2013-01-09,W.A.C.,5th Street & Avenue B,Runs With Seamen's Bon Voyage,KH3
1125,2013-01-16,She Likes It In The Benjamin,23rd Street & 2nd Avenue,,NAWW
1126,2013-01-30,Cheeky Bastard,Milano's on Houston,,NAWW
1127,2013-02-10,Irish Spring,Columbus Circle,,NYCH3
1128,2013-02-12,Eager 4 Beaver,Dive 75,,Bad Apple
1129,2013-02-13,She Likes It In The Benjamin,Museum of Sex,,NAWW
1130,2013-02-23,Hi I'm Gay,,Hazmat,New Haven H3
1131,2013-02-24,BJ and The Bareback,,Purim Hash,NYCH3
1132,2013-02-27,Copa Cum Bloody & Free His Willy,Madison Square,,NAWW
1133,2013-03-09,Splat,Washington Square,NYU Takes Over Columbia,CUnTH3
1134,2013-03-13,Wait I Can Explain,NY Public Library,,NAWW
1135,2013-03-17,Irish Spring,Saint Patrick's Cathedral,,NYCH3
1136,2013-03-27,Professor Steve,,,Pudong Full Moon H3
1137,2013-03-31,W.A.C.,116th & University,,NYCH3
1138,2013-04-10,Turd Dimension,Coliseum Bar,,NAWW
1139,2013-04-21,C.P.A. & Ginger Nail Me,169 Bar,,NYCH3
1140,2013-04-22,Cheeky Bastard,Cherry Tree,#666,BH3
1141,2013-04-24,Splat,Whitehorse Tavern,AGM,NAWW
1142,2013-04-26,Sir Shaves A Lot,96th & Amsterdam,,GGFM
1143,2013-04-27,Lazer Labia & Forgy,Cold Spring Harbor,,LIL
1144,2013-05-01,W.A.C.,Tobacco Road,AGM,KH3
1145,2013-05-15,The JMs,East Broadway,,NYCH3
1146,2013-06-09,Stick It In My Socket,Union Square,,Baltimore-Annapolis H3
1147,2013-06-21,Sticky Fingers,South Street Seaport,,GGFM
1148,2013-07-18,Splat & Mr. BoneJangles,Front & Union,,Gypsies
1149,2013-07-31,Ow My Balls & Finger Fucked,No Idea Bar,,NYCH3
1150,2013-08-13,Fast American Dave,14th Street & 7th Avenue,,Bad Apple
1151,2013-08-14,Splat,3rd Street & 6th Avenue,NAWW in Summer,NYCH3
1152,2013-08-21,Flabio & Just Steve,St. Mark's Place,HALT,NYCH3
1153,2013-09-06,Bedmaster,Woodside & 60th Street,,QBKH3
1154,2013-09-08,Rubs 'er Raw,New Dorp,,NASS
1155,2013-09-10,Dave Hardy,Emerald Inn,,Bad Apple
1156,2013-09-11,Doggie Erectus & Solar Eclits,14th & 7th,,NYCH3
1157,2013-09-14,W.A.C.,177th & Broadway,,CUnTH3
1158,2013-10-09,Speedo Gonzales & Spits Then Swallows,169 Bar,,NAWW
1159,2013-10-23,Type A Hole,Rattle N Hum,World Peace Through Beer,NAWW
0,2013-11-02,The Colonel,,Manhattan Pub Crawl,Rumson
1160,2013-11-03,,96th Street,Marathon,NYCH3
1161,2013-11-06,Skidmark,Bridge Street,,NAWW
1162,2013-11-15,Bollywoodless,79th & Broadway,,GGFM
1163,2013-12-01,Bollywoodless & Gagem Style,60th & 2nd,,NYCH3
1164,2013-12-04,Splat,St. Mark's & 3rd Avenue,,NAWW
1165,2013-12-09,,Mission Dolores Park,,SFH3
1166,2013-12-12,Fisty,Silver Avenue,,Gypsies
0,2013-12-13,,,Snowball,SFH3
1167,2013-12-29,Just Katie,23rd Street,Ugly Sweater,NYCH3
1168,2013-12-30,Smashmouth,Myrtle & Wyckoff,White Trash,BH3
1169,2014-01-01,Splat,168th & Broadway,New Year's Day Hangover Clusterfuck,NAWW/GGFM
1170,2014-01-08,Sporadically Cums & Mouthful of Gu,One Star Bar,#69,KH3
1171,2014-01-11,Splat & Skidmark,Washington Square,NYU Takes Over Columbia,CUnTH3
1172,2014-01-15,Splat & Stinky Fingers,Barrow Street Ale House,The S.H.I.T.T.Y. Trail,NAWW
1173,2014-01-26,Tickets,McSwiggan's,,NYCH3
1174,2014-01-29,Cheeky Bastard,42nd & 9th,,NAWW
1175,2014-01-31,Li'l Dirty & Tall Dark and Hammered & Crazy Bob,96th & CPW,Flashlight Hash,GGFM
1176,2014-02-06,Mouthful of Gu & Just Cindy,Fetch,,KH3
1177,2014-02-09,Li'l Dirty & Doggie Erectus,District 12,,NYCH3
1178,2014-02-12,Alice & Steamer,40th & Lexington,,NAWW
1179,2014-02-26,Conelingus,44th Street & 2nd Avenue,,NAWW
1180,2014-03-12,Stinky Fingers & Mastercard,The Patriot,Toga Hash,NAWW
1181,2014-03-16,Irish Spring & Solar Eclits,Old Saint Patrick's,Irish Hash,NYCH3
1182,2014-03-26,I Can Explain,14th Street & 7th Avenue,,NAWW
1183,2014-03-31,Splat,Henry Street Ale House,,BH3
1184,2014-04-09,Bollywoodless & Chokes on Dick & Just Michelle,Front Street & Peck Slip,Thunder Down Under,NAWW
1185,2014-04-13,Tigger,Houston & Avenue A,Burners Meet the Hashers,NYCH3
1186,2014-04-27,Splat & Doggie Erectus,169th & Broadway,,NYCH3
1187,2014-04-30,Splat,Formerly Crow's,AGM Pub Crawl,NYCH3
1188,2014-05-03,Fast American Dave,14th Street & 7th Avenue,AGM,NYCH3
1189,2014-05-14,Cum Test Dummy & Gag 'Em Style,81st & Amsterdam,,NYCH3
1190,2014-05-16,Crotchless Panties,North 7th & Bedford,,GGFM
1191,2014-05-24,Crazy Bob & Dogface,Broadway LIRR,,NASS
0,2014-06-08,Lazer Labia & F'Orgy,Ossining,Hash Olympics,CUnTH3
1192,2014-07-02,Foreign My Twat & Just Kim,79th & Amsterdam,,NYCH3
1193,2014-07-09,BJ and The Bareback & Just Margo,Rodeo Bar,,NYCH3
1194,2014-07-24,Chokes on Dick & Ginger Nail Me,14th Street & 2nd Avenue,,NYCH3
1195,2014-08-08,Dildo Bag-Gone,Bunga's Den,,GGFM
1196,2014-08-13,Stinky Fingers & Conelingus,Big Gay Ice Cream,NAWW in Summer,NYCH3
1197,2014-08-18,W.A.C. & House of Ooze,58th Street & 4th Avenue,,BH3
0,2014-08-22,,Calle Tepa,Happy Hour,Jhavelina H3
1198,2014-08-27,The Committee,44th Street & 11th Avenue,NYCH3 1600th,NYCH3
1199,2014-09-06,Bushy & Conelingus,Great Neck,Great Gatsby Hash,LIL
1200,2014-09-11,Che Gayvara,Diamond Heights Boulevard & Duncan Street,,Gypsies
1201,2014-09-19,The Committee,33rd & 9th,RDR Prelube,GGFM
1202,2014-09-20,The Red Dress Committee,50th & 10th,Red Dress,NYCH3
1203,2014-10-05,Chokes on Dick,60th & Lexington,,NYCH3
1204,2014-10-08,Conelingus,41st Street & 5th Avenue,,NAWW
1205,2014-10-11,Type A Hole,181st & Cabrini,Columbia 5th Anniversary,CUnTH3
1206,2014-10-22,Stinky Fingers,Jeremy's Ale House,,NAWW
1207,2014-11-05,Li'l Dirty & Just Ara,Liberty & Nassau,,NAWW
1208,2014-11-08,House of Ooze & Solar Eclits,Freddy's Bar,Ooze's 40th Birthday,CUnTH3
1209,2014-11-09,Foreign My Twat,88th & 3rd,FMT's Birthday,NYCH3
1210,2014-11-19,Joe Pennsylvania,Mr. Wright Liquor,,NAWW
1211,2014-12-03,Gag 'em Style,Bourbon Street,,NAWW
1212,2014-12-17,Irish Spring,9th Avenue Saloon,Irish Spring's Irish Exit,NAWW
1213,2014-12-31,Splat,170th & Broadway,NYE,NAWW
1214,2015-01-01,Tall Dark and Hammered,Mudville 9,New Year's Recovery,GGFM
1215,2015-01-08,Nothing Interesting,Sunnyvale,,FHAC-U
1216,2015-01-15,Che Gayvara,GG Park,,Gypsies
1217,2015-01-17,Morning Missile & Premature Evacuation,Healdsburg,Wine Crawl,Winers H3
1218,2015-01-23,Li'l Dirty & Crazy Bob,81st & CPW,Flashlight Hash,GGFM
1219,2015-01-28,Type A-hole,134th & Adam Clayton Powell,,NAWW
1220,2015-01-31,Tequila Whore & Ice Ice Pussy,Van Cortlandt Park,Tequila's Birthday,CUnTH3
1221,2015-02-01,Salt Lick & Just Trish,87th & York,Superbowl Hash,NYCH3
1222,2015-02-06,Splat & Bushy,Washington Place & 6th,SpLUSHY Hash,GGFM
1223,2015-02-25,Turd Dimension,18th & Park Avenue South,,NAWW
1224,2015-03-06,Rapunzel,109th & Amsterdam,,GGFM
1225,2015-03-11,Pick-up,Himmel Park,,Mr. Happy's H3
1226,2015-03-22,Ed Lunch,13th & Avenue A,,NYCH3
1227,2015-03-25,Kim Dong Dildo,4th Street & 6th Avenue,,NAWW
1228,2015-04-04,I-Feel Tower & Spank the Plank,Oakdale,,LIL
1229,2015-04-08,Tequila Whore,22nd & 9th,,NAWW
0,2015-04-18,Splat,Yankee Stadium,Scouting Party,TSH3
1230,2015-04-22,Stinky Fingers & Conelingus,Lispenard & West Broadway,AGM,NAWW
1231,2015-04-29,W.A.C.,The Patriot,Underwear Hash,KH3
1232,2015-05-17,Dogface & Crazy Bob,Broadway LIRR,,NASS
1233,2015-05-22,I-Feel Tower,69th Street & 47th Avenue,I-Feel's Pub Run,QBKH3
1234,2015-06-07,Doggie Erectus,Dyckman & Broadway,,NASS
1235,2015-06-27,Splat,Yankee Tavern,5 Borough Pub Crawl,TSH3
1236,2015-07-11,The Gynocracy,Coogan's,CU #69,CUnTH3
1237,2015-07-22,,Alberta Street Pub,,Portland Humpin' H3
1238,2015-07-31,Splat,House of Shields,Blue Moon Hash,FMH3
1239,2015-08-06,Mr. BoneJangles,Presidio Log Cabin,,Gypsies
1240,2015-08-11,Dogface,Alewife,,Bad Apple H3
1241,2015-08-19,Conelingus & Surprise I'm Illiterate,14th & 1st,NAWW in Summer,NYCH3
1242,2015-08-26,Pick-up,Francisco Elias Esquer Park,,Mr. Happy's H3
1243,2015-09-06,Head Queen et al.,Willamette Valley,Portland,InterAm
1244,2015-09-16,Doggie Erectus,60th & 2nd,Bikini Hash,NYCH3
1245,2015-09-18,Bollywoodless,40th & 9th,Red Dress Prelube,GGFM
1246,2015-09-19,The Red Dress Committee,Jeremy's Ale House,Red Dress,NYCH3
1247,2015-09-30,Just Andy & Cum Test Dummy & Minor 69er,The Patriot,,NYCH3
1248,2015-10-25,Just Rachelle & Krispy Kringle,181st & Fort Washington,,NYCH3
1249,2015-10-28,Body Swerve,The Patriot,,NAWW
0,2015-10-31,The Colonel,,Manhattan Pub Crawl,Rumson
1250,2015-10-31,The Committees,125th & 12th,Halloween Hash,GGFM/CUnTH3
1251,2015-11-01,Cheeky Bastard,96th & 5th,Marathon Hash,NYCH3
1252,2015-11-12,Cosmopolitits & Sloppy Thirds,Billymarks West,,NAWW
1253,2015-11-14,Splat,Washington Square,NYU Takes Over Columbia,CUnTH3
1254,2015-11-25,Fluffy,The Patriot,Thanksgiving Orphans,NAWW
1255,2015-12-06,The Harriettes Committee,The Parlour,Santa Sluts,NYCH3
1256,2015-12-09,Splat,18th & Park Avenue,,NAWW
1257,2015-12-20,Mean Jean,14th & 7th,,NYCH3
1258,2015-12-23,Cheeky Bastard,Walker & West Broadway,,NAWW
1259,2016-01-03,Wet Willy & Trips and Balls,Union Square,,NYCH3
1260,2016-01-06,How Long Is It? & Surprise I'm Illiterate,55th & 7th,,NAWW
1261,2016-01-08,Tall Dark and Hammered & Crazy Bob & A Little Dirty,81st & CPW,Flashlight Hash,GGFM
1262,2016-01-09,Tequila Whore,207th & Broadway,Tequila's Birthday Hash,CUnTH3
1263,2016-01-17,Cheeky Bastard,Peggy O'Neill's,Polar Bear Hash,NYCH3
1264,2016-01-20,Jeter Eater & Just Jason,79th & Broadway,,NAWW
1265,2016-01-27,Conelingus & Just Sam,The Patriot,Knickerbocker 100,KH3
1266,2016-02-03,Geordi La Foreskin,Subway Inn,Geordi's Birthday Hash,NAWW
1267,2016-02-07,C.P.A.,One Star Bar,Superbowl Hash,NYCH3
1268,2016-02-09,Splat,Abbey Pub,,Bad Apple H3
1269,2016-02-21,Skidmark,23rd & 8th,,NYCH3
1270,2016-02-29,W.A.C. & Stuff My Fluff,Court Street & Joralemon,Leap Day,BH3
1271,2016-03-02,Momentarily Vertical & Metrosweatual,51st & 6th,,NAWW
1272,2016-03-06,Doggie Erectus & Li'l Dirty,Coogan's,,NYCH3
1273,2016-03-08,Stinky Fingers,White Horse Tavern,,Bad Apple H3
1274,2016-03-16,Stinky Fingers,White Horse Tavern,Green Toga Hash,NAWW
1275,2016-03-23,Uncle jHolio,Broadway & Campbell,Joint hash with Mr. Happy's H3,jHavelina Full Moon
0,2016-03-25,,Sky Bar,Happy Hour,jHavelina H3
1276,2016-03-30,Squirty Dancing,57th & 7th,,NAWW
1277,2016-04-06,Cums Faster Than Men & Just Bryan & Coneylingus,51st & 6th,,KH3
1278,2016-04-08,Rapunzel & Dildo Bag-Gone,John Brown Smokehouse,AGM,QBKH3
1279,2016-04-12,Maria W.,78th & 1st,,Bad Apple H3
1280,2016-04-13,Massive Load & Coneylingus,52nd & 2nd,,NAWWW
1281,2016-04-21,Mr. BoneJangles,25th Avenue & MLK,Mr. BJ's Birthday Hash,Gypsies
1282,2016-04-27,The Committee,Bunga's Den,AGM,NAWW
1283,2016-05-04,The Committee,Subway Inn,Underwear Hash,KH3
0,2016-05-07,Splat,Yankee Stadium,Scouting Party,TSH3
1284,2016-05-16,Cuming Mutha & Vagina Dentata,Front & Pacific,Pink Tutu Hash,SFH3
1285,2016-05-19,Blow Queen,Aquatic Park,,Gypsies
1286,2016-06-08,Lexi's Bitch et al.,29th & 2nd,,NYCH3
1287,2016-06-11,Splat,Yankee Tavern,5 Borough Pub Crawl,TSH3
1288,2016-06-29,Just Noah & Metrosweatsual,The Patriot,,NYCH3
1289,2016-07-06,Come On Moses et al.,6th Avenue & Washington Place,Ice Cream Hash,NYCH3
0,2016-07-08,,Brew of A,Happy Hour,jHavelina H3
0,2016-07-09,Cock Cage et al.,Boon Docks Bar,,jHavelina H3
0,2016-07-10,,4th Avenue,Pub Crawl,jHavelina H3
0,2016-07-30,Lil Dirty,The Shannon Pot,Bushy's Birthday Pub Crawl,NYCH3
0,2016-08-05,,Trident Grill,Happy Hour,jHavelina H3
0,2016-08-12,,Nevada Smith's Saloon,Happy Hour,jHavelina H3
1290,2016-08-13,GFM & Rabbi,Casas Adobes Park,,jHavelina H3
0,2016-08-14,,DidYa's House,BBQ,S.A.C.
0,2016-08-21,,4th Avenue,Post-Badger pub crawl,S.A.C.
1291,2016-08-24,Shaman et al.,Estevan Park,,Mr. Happy's H3
0,2016-08-26,,Thunder Canyon,Happy Hour,jHavelina H3
1292,2016-09-07,Professor Coitus,Swan Park,,Mr. Happy's H3
0,2016-09-09,,Sky Bar,Happy Hour,jHavelina H3
1293,2016-09-10,I Sweep Around et al.,Rosemont & Pima,,jHavelina H3
1294,2016-09-14,BBQ Cock et al.,Himmel Park,,Mr. Happy's H3
1295,2016-09-16,Bumper Shaft & People's Cunt,Estevan Park,Santa's Birthday Hash,jHavelina Full Moon
1296,2016-09-18,Orgy Porgy & BBQ Cock,Parkview Park,,Honey Badger H3
0,2016-09-23,,Sky Bar,Happy Hour,jHavelina H3
1297,2016-09-24,Peg a Soreass et al.,The Hut,Pokemon Hash,jHavelina H3
1298,2016-09-28,BBQ Cock & Clam,Madera Park,,Mr. Happy's H3
1299,2016-10-01,Cunt Do Anal & Splat et al.,1st & Fort Lowell,,jHavelina H3
1300,2016-10-09,Bimbo By Day & Casual Friday,Country Club & Prince,Pedalphiles' 10th Anniversary,Pedalphiles Bash
1301,2016-10-12,,The Meet Rack,,Mr. Happy's H3
0,2016-10-14,,Sky Bar,Happy Hour,jHavelina H3
1302,2016-10-15,Splat,1702,Beer Hunter Full Moon Pub Crawl,jHavelina Full Moon
1303,2016-10-23,In the Butt Bob & Sure Cock Holmes et al.,Reid Park,World Peace Through Beer,Honey Badger H3
1304,2016-10-26,,Fort Lowell Park,,Mr. Happy's H3
0,2016-10-28,,The Independent Distillery,Happy Hour,jHavelina H3
1305,2016-10-29,Klitty Litter & Bench Warmer & Just Heather & Cock Cage,14th & Park,Halloween Hash,jHavelina H3
1306,2016-11-02,Tonka Fuck & PIMA,Himmel Park,,Mr. Happy's H3
0,2016-11-18,,Red Garter,Happy Hour,jHavelina H3
1307,2016-11-19,Chew Toy & Rabbi Yank Me,Joaquin Murietta Park,,jHavelina H3
1308,2016-11-30,Bearded Clam,Himmel Park,,Mr. Happy's H3
1309,2016-12-03,Clappy & C.D.A. & Blue Diamond Hymen,Country Club & Ft. Lowell,,jHavelina H3
0,2016-12-08,W.A.C.,Bossy Grrl's,Karaoke Roulette,Columbus H3
1310,2016-12-10,Professor Coitus,Ironhorse Park,SantaCon Hash,jHavelina H3
1311,2016-12-11,BBQ Cock,Stefan Gollob Park,Nerd Hash,Honey Badger H3
1312,2016-12-14,Cunt Do Anal & Professor Coitus,Himmel Park,,jHavelina Full Moon
0,2016-12-16,,Bob Dobb's,Happy Hour,jHavelina H3
1313,2016-12-17,Professor Coitus & Uncle jHolio,Midtown Bar and Grill,White Elephant Hash,jHavelina H3
1314,2016-12-21,Cheeky Bastard,Franklin Avenue & St. John's Place,,NAWW
1315,2017-01-01,Cheeky Bastard,96th & 2nd,,NYCH3
0,2017-01-06,,Serial Grillers,Happy Hour,jHavelina H3
0,2017-01-10,,Red Garter,Mismanagement Meeting,jHavelina H3
1316,2017-01-11,Too Busy Masturbating,Hi Corbett Field,,Mr. Happy's H3
0,2017-01-13,,Wooden Nickel,Happy Hour,jHavelina H3
1317,2017-01-14,Public Enema #2 & Chew Toy,Toumey Park,Neon Hash,jHavelina H3
0,2017-01-19,,Danny's Baboquivari Lounge,C.D.A.'s Birthday,
1318,2017-01-20,Uncle jHolio et al.,Rosemont & Lee,Red Dress,Mr. Happy's H3
1319,2017-01-21,C.D.A. et al.,Barrio Brewing,C.D.A. et al.'s Birthday Hash,jHavelina H3
1320,2017-01-25,Blowing Blanks & Milking for Grandma,Alvernon Park,,Mr. Happy's H3
0,2017-01-27,,Wasted Grain,Happy Hour,jHavelina H3
1321,2017-01-28,SinWhore & 3.1 Whore,Hotel Congress,A Clockwork Whorange,jHavelina H3
0,2017-02-07,,Red Garter,Mismanagement Meeting,jHavelina H3
1322,2017-02-08,Bumper Shaft,Mansfield Park,,Mr. Happy's H3
1323,2017-02-18,Splat,Iron John's Brewery,,jHavelina H3
1324,2017-02-22,Tonka Fuck & Silent but Violent,Jesse Owens Park,,Mr. Happy's H3
0,2017-02-24,,Sky Bar,Happy Hour,jHavelina H3
1325,2017-02-25,Betty Crochette,Tucson Mall,,jHavelina H3
0,2017-03-02,,Heavy Seas Brewing,Happy Hour,Baltimore-Annapolis H3
0,2017-03-07,,Red Garter,Mismanagement Meeting,jHavelina H3
1326,2017-03-08,Splat,Conner Park,,Mr. Happy's H3
0,2017-03-10,,Kappy's,Happy Hour,jHavelina H3
1327,2017-03-11,Skanks on a Plane,The Shelter,Skanks' Birthday,jHavelina Full Moon
1328,2017-03-15,Tonka Fuck,Mitchell Park,,Mr. Happy's H3
1329,2017-03-18,Uncle jHolio & GFM & Sticky Tits,Park Place Mall,Green Dress,jHavelina H3
0,2017-03-31,,Thunder Canyon Brewery,Happy Hour,jHavelina H3
1330,2017-04-01,Bench Warmer & Just Rebecca,Ironhorse Park,Just Rebecca's Birtday Hash,jHavelina H3
1331,2017-04-02,I Sweep Around & ADAPTS,Kon Tiki,,Honey Badger H3
1332,2017-04-05,Professor Coitus,Hi Corbett Field,,Mr. Happy's H3
0,2017-04-07,,Sky Bar,Happy Hour,jHavelina H3
1333,2017-04-08,Cockstalker & Just Jennifer,Rosemont & Lee,,jHavelina H3
0,2017-04-21,,PJ's Subs,Happy Hour,jHavelina H3
1334,2017-04-22,Bench Warmer & Rabbi Yanke Me,Foothills Mall,,jHavelina H3
1335,2017-04-26,Bumper Shaft & Just Jake,Tonka's House,,Mr. Happy's H3
0,2017-04-28,,Puerto Peasco,Pub Crawl,Rocky Point
1336,2017-04-29,Traihead & Peg a Soreass,Puerto Peasco,,Rocky Point
1337,2017-04-30,,Puerto Peasco,Hangover Hash,Rocky Point
1338,2017-05-07,Orgy Porgy & Abu Grab Me,Cow Pony Bar,,Honey Badger H3
0,2017-05-09,,Red Garter,Mismanagement Meeting,jHavelina H3
1339,2017-05-10,Just Shit Talker & Just Elizabeth,Country Club & 31st Street,,Mr. Happy's H3
0,2017-05-19,,Thunder Canyon Brewery,Happy Hour,jHavelina H3
1340,2017-05-20,Bench Warmer & Klitty Litter & Five Diamond Hymen,Fort Lowell Park,,jHavelina H3
1341,2017-05-31,I'm So Fucking Boring,Iron Horse Park,,Mr. Happy's H3
0,2017-06-02,,Johnny Gibson's Downtown Market,Happy Hour,jHavelina H3
1342,2017-06-03,Bench Warmer & Just Rebecca,Swan & Broadway,Just Rebecca's Naming,jHavelina H3
1343,2017-06-10,Special Needs Titties & 300 & Skanks on a Plane,Craycroft & Lester,,jHavelina H3
0,2017-06-16,,Red Garter,Happy Hour,jHavelina H3
1344,2017-06-17,Skanks on a Plane,Rosemont & Lee,,jHavelina H3
1345,2017-06-22,Dr. Kimble,Adrian Rosal Park,Summer Solstice Pagan Fest,Gypsies
1346,2017-06-23,PIMA & Professor Coitus,Craycroft & 22nd,Red Dress Pub Crawl,jHavelina H3
1347,2017-06-24,Rabbi Yank Me & Betty Crotchette,Craycroft & 22nd,Red Dress,jHavelina H3
0,2017-07-07,Splat,Mr. Head's,Splat's Belated Birthday Pub Crawl,jHavelina H3
1348,2017-07-08,Bench Warmer,Harrison & Golf Links,Squirt Hash,jHavelina H3
0,2017-07-11,,Red Garter,Mismanagement Meeting,jHavelina H3
1349,2017-07-12,Professor Coitus,Cherry Field,,Mr. Happy's H3
1350,2017-07-15,Splat,Yankee Tavern,5 Borough Pub Crawl,TSH3
0,2017-07-21,,Sky Bar,Happy Hour,jHavelina H3
1351,2017-07-22,Bumper Shaft & People's Cunt,Barrio Brewing,,jHavelina H3
1352,2017-07-26,Sucks 4 U,Curtis Park,,Mr. Happy's H3
1353,2017-08-02,BBQ Cock,Wilshire Heights Park,,Mr. Happy's H3
0,2017-08-04,,Thunder Canyon Brewery,Happy Hour,jHavelina H3
1354,2017-08-05,GFM,Picture Rocks Trailhead,,jHavelina H3
0,2017-08-08,,Trident I,Mismanagement Meeting,jHavelina H3
1355,2017-08-09,Splat & Trihorsecocks & Just Sebastian,Juhan Park,,Mr. Happy's H3
1356,2017-08-12,S.I.C. & Dirty and Hairy,Brandi Fenton Park,,jHavelina H3
1357,2017-08-16,Uncle jHolio,Pinecrest Park,,Mr. Happy's H3
1358,2017-08-26,Benchwarmer,Grant & Swan,,jHavelina H3
1359,2017-08-30,BBQ Cock,Freedom Park,,Mr. Happy's H3
1360,2017-09-06,Napoleon,Rillito River Park,,Mr. Happy's H3
1361,2017-09-08,Splat,Borderlands Brewing Company,5 Brewery Pub Crawl,jHavelina Full Moon
1362,2017-09-09,C.D.A.,Bashful Bandit,,jHavelina H3
1363,2017-09-16,Dirty and Harry & Benchwarmer & Klitty Litter,Tahoe Park,,jHavelina H3
1364,2017-09-23,GFM,The Meet Rack,,jHavelina H3
1365,2017-09-24,Abu Grab Me,Pinecrest Park,,Honey Badger H3
0,2017-09-29,Dirty and Harry,Maynard's Market,Dirty and Harry's 50th Pub Crawl,jHavelina H3
1366,2017-10-04,Professor Coitus & Captain He Brew,The Meet Rack,,Mr. Happy's H3
1367,2017-10-07,M.I.N.K.,Tempe Lopiano Park,Phoenix,InterAm
1368,2017-10-18,Splat & Just Jeanie,Reid Park,,Mr. Happy's H3
0,2017-10-21,,Parker Canyon Lake,Arizona Interhash III,AZ Interhash
1369,2017-10-25,Tonka Fuck,Tonka's House,,Mr. Happy's H3
0,2017-10-27,,O'Malley's,Happy Hour,jHavelina H3
1370,2017-10-28,Klitty Litter & Benchwarmer & Poppin Pussy & Rabbi,Mesa Village Park,Halloween Hash,jHavelina H3
1371,2017-11-01,Trailhead & Surecock Holmes,La Madera Park,,Mr. Happy's H3
1372,2017-11-05,Splat,Reid Park,,Honey Badger H3
1373,2017-11-08,Splat & Fucking Boring & Just Quinn,McCormick Park,,Mr. Happy's H3
0,2017-11-10,Splat,The Shanty,Trashed de Tucson Pub Crawl,jHavelina H3
1374,2017-11-11,Didya & GFM & Anal Adams,Pima Community College NW,,jHavelina H3
0,2017-11-14,,Tucson Racquet Club,Mismanagement Meeting,jHavelina H3
1375,2017-11-15,Fucking Boring,Jacobs Park,,Mr. Happy's H3
0,2017-11-24,,Wooden Nickel,Happy Hour,jHavelina H3
1376,2017-11-25,GFM & Queef LaTifia,Campbell & Glenn,,jHavelina H3
1377,2018-01-01,Cheeky Bastard,Fort Hamilton Parkway & New Utrecht Avenue,,BH3
